Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-01-04 00:00:00-05:00,86.12429246705014,86.9060534980699,85.46515798028861,86.86006927490234,118944600,0.0,0.0,0.0
2010-01-05 00:00:00-05:00,86.80642676933915,87.12832805494884,86.49218562331437,87.09000396728516,111579900,0.0,0.0,0.0
2010-01-06 00:00:00-05:00,87.00568927621003,87.36591462308449,86.93671294039206,87.15131378173828,116074400,0.0,0.0,0.0
2010-01-07 00:00:00-05:00,86.99033090017633,87.6264730493499,86.74507205135947,87.51917266845703,131091100,0.0,0.0,0.0
2010-01-08 00:00:00-05:00,87.28924896612722,87.84874887929762,87.11297225675946,87.8104248046875,126402800,0.0,0.0,0.0
2010-01-11 00:00:00-05:00,88.20132598540167,88.23964422032937,87.55751765581616,87.93307495117188,106375700,0.0,0.0,0.0
2010-01-12 00:00:00-05:00,87.35056132419831,87.53450400992558,86.77573531479709,87.11296844482422,163333500,0.0,0.0,0.0
2010-01-13 00:00:00-05:00,87.33524673093198,88.09402142444719,86.89071897260736,87.84876251220703,161822000,0.0,0.0,0.0
2010-01-14 00:00:00-05:00,87.74913151334367,88.24731537606057,87.69548130335474,88.08636474609375,115718800,0.0,0.0,0.0
2010-01-15 00:00:00-05:00,87.93307328065502,88.017375734868,86.7604230434126,87.09765625,212283100,0.0,0.0,0.0
2010-01-19 00:00:00-05:00,87.08232720455133,88.2396395839098,87.05932924788233,88.18598937988281,139172700,0.0,0.0,0.0
2010-01-20 00:00:00-05:00,87.58816997517503,87.71846249071669,86.59180822126214,87.28926086425781,216490200,0.0,0.0,0.0
2010-01-21 00:00:00-05:00,87.31228084023402,87.58053194238725,85.50349362652152,85.61079406738281,344859600,0.0,0.0,0.0
2010-01-22 00:00:00-05:00,85.2275427026433,85.64141817342227,83.61036489637912,83.70233917236328,345942400,0.0,0.0,0.0
2010-01-25 00:00:00-05:00,84.46876388612861,84.62205432787512,83.85561966143995,84.13153076171875,186937500,0.0,0.0,0.0
2010-01-26 00:00:00-05:00,83.80200670362639,84.66808206430177,83.57207969395049,83.77901458740234,211168800,0.0,0.0,0.0
2010-01-27 00:00:00-05:00,83.67170139992321,84.36916000545529,83.02789885398704,84.17755126953125,271863600,0.0,0.0,0.0
2010-01-28 00:00:00-05:00,84.4534644252012,84.49944864852482,82.70599376969194,83.21183776855469,316104000,0.0,0.0,0.0
2010-01-29 00:00:00-05:00,83.57205269268765,84.15454478771993,82.17714156723419,82.30743408203125,310677600,0.0,0.0,0.0
2010-02-01 00:00:00-05:00,82.88991924548563,83.59503781094051,82.3917354893194,83.58737182617188,187865000,0.0,0.0,0.0
2010-02-02 00:00:00-05:00,83.74068714510202,84.76004121949747,83.44943811175918,84.59909057617188,216327900,0.0,0.0,0.0
2010-02-03 00:00:00-05:00,84.21586950825532,84.67573515242066,83.93229232144587,84.17755126953125,172730700,0.0,0.0,0.0
2010-02-04 00:00:00-05:00,83.52609136285126,83.56440960553256,81.56401372810434,81.579345703125,356715700,0.0,0.0,0.0
2010-02-05 00:00:00-05:00,81.67127665965177,81.91653552044164,80.15373928583705,81.7479248046875,493585800,0.0,0.0,0.0
2010-02-08 00:00:00-05:00,81.80927501483976,82.26147473177325,81.09649018953824,81.15780639648438,224166900,0.0,0.0,0.0
2010-02-09 00:00:00-05:00,82.10816473331467,82.88993156780636,81.44903028361931,82.1771469116211,337820500,0.0,0.0,0.0
2010-02-10 00:00:00-05:00,82.04686293337645,82.46839864328956,81.32641221624934,82.01620483398438,240511500,0.0,0.0,0.0
2010-02-11 00:00:00-05:00,81.90888443085242,82.9665622884374,81.43369277733463,82.87458801269531,223591600,0.0,0.0,0.0
2010-02-12 00:00:00-05:00,82.00086694498641,82.85161013758083,81.63298147369022,82.80562591552734,304622100,0.0,0.0,0.0
2010-02-16 00:00:00-05:00,83.43410566125455,84.19287459297462,82.63701264465155,84.10856628417969,159317500,0.0,0.0,0.0
2010-02-17 00:00:00-05:00,84.51477836435416,84.62208463572526,84.10856878124659,84.50711822509766,168845100,0.0,0.0,0.0
2010-02-18 00:00:00-05:00,84.36915245011973,85.1815715465057,84.3384943534252,85.00529479980469,193708600,0.0,0.0,0.0
2010-02-19 00:00:00-05:00,84.78305117744706,85.51116216896234,84.58377641813637,85.18159484863281,222684900,0.0,0.0,0.0
2010-02-22 00:00:00-05:00,85.49582384546494,85.51881595913754,84.94398972758336,85.19691467285156,132346900,0.0,0.0,0.0
2010-02-23 00:00:00-05:00,84.96696748429771,85.22755252513556,83.93994175012577,84.1622085571289,207497000,0.0,0.0,0.0
2010-02-24 00:00:00-05:00,84.4151263001516,85.07426067951731,84.2005254970899,84.9363021850586,176350700,0.0,0.0,0.0
2010-02-25 00:00:00-05:00,83.72533288068668,84.88265102402924,83.49540595747882,84.82133483886719,259634700,0.0,0.0,0.0
2010-02-26 00:00:00-05:00,84.89797684870771,85.16623369599215,84.39213294147879,84.87498474121094,173589300,0.0,0.0,0.0
2010-03-01 00:00:00-05:00,85.22754394163377,85.84069409557546,85.20455183416178,85.75638580322266,147709700,0.0,0.0,0.0
2010-03-02 00:00:00-05:00,86.12429404692598,86.4078712249069,85.84071102151069,85.9939956665039,160992400,0.0,0.0,0.0
2010-03-03 00:00:00-05:00,86.21625921694157,86.58415053734595,85.85603388272568,86.07064056396484,150785000,0.0,0.0,0.0
2010-03-04 00:00:00-05:00,86.18562850507477,86.45388548000373,85.86372715208324,86.33125305175781,135770400,0.0,0.0,0.0
2010-03-05 00:00:00-05:00,86.89070224175708,87.63413897349298,86.68376160248721,87.5651626586914,176118800,0.0,0.0,0.0
